Date,Open,High,Low,Close,Adj Close,Volume
2015-01-14,24774.099609,24774.099609,23726.000000,23726.000000,20383.478516,471112
2015-01-15,23773.599609,24393.000000,23726.000000,23773.599609,20424.373047,1244370
2015-01-16,23559.199219,23988.000000,23392.500000,23559.199219,20240.179688,818386
2015-01-19,23583.099609,23678.300781,23344.800781,23344.800781,20055.984375,261111
2015-01-20,23630.699219,23630.699219,22868.400391,23344.800781,20055.984375,530513
2015-01-21,23535.400391,23535.400391,22987.500000,23035.199219,19790.000000,626855
2015-01-22,22916.099609,22916.099609,22677.900391,22868.400391,19646.699219,1728496
2015-01-23,23273.400391,23344.800781,22654.000000,22868.400391,19646.699219,1103950
2015-01-26,22868.400391,22868.400391,22415.800781,22415.800781,19257.865234,1958438
2015-01-27,22868.400391,23130.500000,22392.000000,23130.500000,19871.871094,747965
2015-01-28,23082.800781,23273.400391,22558.699219,22558.699219,19380.626953,1433697
2015-01-29,22487.300781,22606.400391,22106.099609,22106.099609,18991.791016,1968723
2015-01-30,22534.900391,22534.900391,22058.500000,22153.800781,19032.771484,1226214
2015-02-02,22487.300781,22487.300781,22177.599609,22344.400391,19196.521484,646900
2015-02-03,22534.900391,22534.900391,22249.099609,22296.699219,19155.541016,764022
2015-02-04,22511.099609,22773.099609,22463.500000,22511.099609,19339.732422,1406095
2015-02-05,22677.900391,23297.199219,22582.599609,23297.199219,20015.087891,4150386
2015-02-06,23773.599609,25155.300781,23749.800781,25155.300781,21611.421875,6693071
2015-02-09,25155.300781,25250.599609,24011.800781,24011.800781,20629.015625,1953400
2015-02-10,23845.099609,24226.199219,23535.400391,23559.199219,20240.179688,1345645
2015-02-11,23678.300781,23988.000000,23416.300781,23916.599609,20547.228516,777666
2015-02-12,23821.300781,24393.000000,23797.500000,24226.199219,20813.214844,1507895
2015-02-13,24393.000000,24631.199219,24131.000000,24393.000000,20956.513672,1335570
2015-02-16,24393.000000,24440.599609,23821.300781,23821.300781,20465.355469,557169
2015-02-17,23845.099609,24154.800781,23845.099609,24011.800781,20629.015625,411082
2015-02-18,24107.099609,24202.400391,23821.300781,24035.699219,20649.548828,364380
2015-02-20,23821.300781,24107.099609,23726.000000,23797.500000,20444.908203,494620
2015-02-23,24011.800781,24011.800781,23344.800781,23368.699219,20076.511719,878206
2015-02-24,23368.699219,23368.699219,22868.400391,23059.000000,19810.445313,1835019
2015-02-25,23106.599609,23440.099609,23106.599609,23344.800781,20055.984375,722778
2015-02-26,23606.900391,24011.800781,23464.000000,23773.599609,20424.373047,1276484
2015-02-27,23821.300781,24178.599609,23487.800781,23487.800781,20178.835938,1465706
2015-03-02,23821.300781,24369.199219,23511.599609,24345.300781,20915.535156,1547881
2015-03-03,24583.599609,24678.800781,24250.099609,24416.800781,20976.960938,2158154
2015-03-04,24416.800781,24917.099609,24345.300781,24750.300781,21263.474609,2321559
2015-03-05,25060.000000,25107.599609,24750.300781,25060.000000,21529.544922,1129872
